Q_Index,R_Index,Embed_Base,Embed_Means,Embed_Sd,VGG16_Base,VGG16_Means,VGG16_Sd
Q50017,R277156,0.8326,0.4254,0.1274,0.6816,0.3623,0.0842
Q50019,R294758,0.4805,0.3735,0.0608,0.2551,0.2567,0.0735
Q50025,R922600,0.3307,0.439,0.0996,0.1653,0.3361,0.0834
Q50034,R360860,0.6117,0.3605,0.0683,0.7654,0.2823,0.0976
Q50036,R105649,0.6061,0.4033,0.0865,0.5601,0.329,0.0935
Q50037,R664133,0.661,0.4353,0.1232,0.6823,0.3252,0.1352
Q50044,R312083,0.523,0.4051,0.0817,0.3869,0.2954,0.0796
Q50045,R472551,0.6058,0.4081,0.0879,0.2307,0.246,0.0814
Q50048,R557847,0.6805,0.3819,0.1095,0.5629,0.2646,0.0774
Q50050,R664909,0.8942,0.3469,0.0753,0.5561,0.1785,0.0858
Q50052,R509422,0.4958,0.4352,0.0923,0.5936,0.3439,0.1001
Q50055,R297421,0.3951,0.3714,0.0616,0.2708,0.2706,0.0814
Q50060,R003513,0.7366,0.4271,0.1253,0.7159,0.304,0.1183
Q50067,R388847,0.8407,0.4375,0.106,0.5948,0.2813,0.0875
Q50071,R152650,0.8557,0.3795,0.0863,0.8965,0.3512,0.1067
Q50073,R736145,0.7668,0.3887,0.103,0.627,0.3007,0.0994
Q50084,R389224,0.5773,0.4416,0.1058,0.5354,0.3667,0.0988
Q50085,R451775,0.4721,0.3522,0.0584,0.3804,0.2468,0.0805
Q50088,R245563,0.4066,0.3488,0.0649,0.4147,0.2938,0.0948
Q50095,R029638,0.2465,0.3045,0.0474,0.1473,0.2028,0.0917
Q50109,R807962,0.7245,0.3296,0.0825,0.7577,0.3277,0.0939
Q50121,R302933,0.4762,0.3149,0.0595,0.6989,0.2229,0.0969
Q50122,R326993,0.5781,0.3986,0.0899,0.534,0.3726,0.0973
Q50131,R532674,0.3847,0.4206,0.084,0.5782,0.2846,0.1055
Q50137,R346647,0.5921,0.4138,0.0813,0.6956,0.2663,0.0904
Q50138,R264735,0.8778,0.2908,0.0614,0.5162,0.325,0.0926
Q50149,R387774,0.4924,0.3502,0.0683,0.1333,0.1789,0.0668
Q50150,R133167,0.376,0.3775,0.0593,0.2611,0.2638,0.0696
Q50154,R602510,0.5151,0.3686,0.0583,0.6043,0.2262,0.0831
Q50160,R453275,0.7467,0.4512,0.1071,0.6546,0.3595,0.1008
Q50164,R259007,0.8289,0.3529,0.0805,0.1884,0.2162,0.0718
